frame_id,x,y,w,h,center_x,center_y,score,detected,used_for_trajectory,track_direction,reject_reason
251,522,477,20,33,864,830,-1.0,0,0,,
252,522,477,20,33,867,833,-1.0,0,0,,
253,522,477,20,33,870,836,-1.0,0,0,,
254,522,477,20,33,873,839,-1.0,0,0,,
255,522,477,20,33,876,842,-1.0,0,0,,
256,522,477,20,33,879,845,-1.0,0,0,,
257,522,477,20,33,882,848,-1.0,0,0,,
258,522,477,20,33,885,851,-1.0,0,0,,
259,522,477,20,33,888,854,-1.0,0,0,,
260,522,477,20,33,891,857,-1.0,0,0,,
261,522,477,20,33,894,860,-1.0,0,0,,
262,522,477,20,33,897,863,-1.0,0,0,,
