frame_id,x,y,w,h,center_x,center_y,score,detected,predicted,used_for_trajectory,template_id
270,434,693,161,59,514,722,57.0,1,0,1,-1
271,451,689,161,59,531,718,89.0,1,0,1,-1
272,462,682,161,59,542,711,45.0,1,0,1,-1
273,456,683,161,59,536,712,26.0,1,0,1,-1
274,444,691,161,59,524,720,124.0,1,0,1,-1
275,466,694,161,59,546,723,281.0,1,0,1,-1
276,459,695,161,59,539,724,309.0,1,0,1,-1
277,462,699,161,59,542,728,404.0,1,0,1,-1
278,460,705,161,59,540,734,440.0,1,0,1,-1
279,458,714,161,59,538,743,566.0,1,0,1,-1
280,460,722,161,59,540,751,590.0,1,0,1,-1
281,459,732,161,59,539,761,618.0,1,0,1,-1
282,462,744,161,59,542,773,610.0,1,0,1,-1
283,463,759,161,59,543,788,630.0,1,0,1,-1
284,460,779,161,59,540,808,702.0,1,0,1,-1
285,460,795,161,59,540,824,789.0,1,0,1,-1
286,462,814,161,59,542,843,731.0,1,0,1,-1
287,460,834,161,59,540,863,654.0,1,0,1,-1
288,448,854,161,59,528,883,441.0,1,0,1,-1
289,443,876,161,59,523,905,379.0,1,0,1,-1
290,455,892,161,59,535,921,474.0,1,0,1,-1
291,455,913,161,59,535,942,555.0,1,0,1,-1
292,462,930,161,59,542,959,636.0,1,0,1,-1
293,459,945,161,59,539,974,610.0,1,0,1,-1
294,458,957,161,59,538,986,588.0,1,0,1,-1
295,463,970,161,59,543,999,605.0,1,0,1,-1
296,459,979,161,59,539,1008,526.0,1,0,1,-1
297,452,990,161,59,532,1019,500.0,1,0,1,-1
298,458,995,161,59,538,1024,524.0,1,0,1,-1
299,453,1000,161,59,533,1029,404.0,1,0,1,-1
300,438,1001,161,59,518,1030,249.0,1,0,1,-1
301,435,1003,161,59,515,1032,160.0,1,0,1,-1
302,435,1006,161,59,515,1035,-1.0,0,1,0,-1
303,445,997,161,59,525,1026,81.0,1,0,1,-1
304,454,1003,161,59,534,1032,377.0,1,0,1,-1
305,459,999,161,59,539,1028,474.0,1,0,1,-1
